"session_id","Total_requests","Total_Bytes","Total_GET_requests","Total_POST_requests","Total_3xx_responses","Total_4xx_responses","per_image_requests","per_css_request","per_js_requests","Depth_SD","Max_requests_per_page","Average_requests_per_page","Max_sequential_request","per_sequential_requests","Session_time","Browsing_speed","SD_request_time"
97hf7ciplt2k54f5j6109nekn0,14,10096,8,6,0.0,0.0,0.0,0.07142857142857142,0.35714285714285715,0.3499271061118826,6,1.5555555555555556,14,1.0,263.0,0.034220532319391636,41.15854115738411
46hm95bnvnuglhj1i1906nc80u,20,20158,16,4,0.0,0.0,0.0,0.2,0.25,0.45825756949558394,4,2.0,20,1.0,10.0,1.0,0.9219544457292888
mtilohhtbsshka38svllisk0am,10,13420,9,1,0.0,0.0,0.0,0.1,0.5,0.4,2,1.1111111111111112,10,1.0,3.0,3.0,0.6403124237432849
66vt430cgmgpus1k96japf46pf,62,81747,43,19,0.0,0.0,0.0,0.016129032258064516,0.08064516129032258,0.6844869410942885,19,3.263157894736842,62,1.0,512.0,0.037109375,16.686807116335142
igirlpfg3oft6i3dl8ah549gqi,57,104214,40,17,0.0,0.0,0.0,0.017543859649122806,0.08771929824561403,0.7877173445839877,17,2.590909090909091,57,1.0,528.0,0.041666666666666664,17.7354104268877
uqhd4i1019lcou4b0s1l1vdq87,40,50154,29,11,0.0,0.0,0.0,0.025,0.125,0.6279928343540235,12,2.6666666666666665,40,1.0,333.0,0.04504504504504504,18.101640119061035
moqasnr56raoh1gq94vqlngt50,41,37239,27,14,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.5853658536585367,14,3.1538461538461537,41,1.0,199.0,0.06532663316582915,8.606749976134745
o2dutldgeigipiq4cd4t69mgr7,62,81670,42,20,0.0,0.0,0.0,0.016129032258064516,0.08064516129032258,0.7000817552971195,20,3.263157894736842,62,1.0,581.0,0.03270223752151463,16.749803918898277
0erfuds6s7kpisp8j1pphnombt,53,57468,37,16,0.0,0.0,0.0,0.018867924528301886,0.09433962264150944,0.633692665047044,16,2.9444444444444446,53,1.0,314.0,0.05732484076433121,9.870575782948777
c7rlbj17lequj24elhrere5g13,52,59059,35,17,0.0,0.0,0.0,0.019230769230769232,0.09615384615384616,0.5992475558031877,17,2.888888888888889,52,1.0,428.0,0.04205607476635514,15.616331915184409
kn4jl5vb5fita9bo6cu1b6jrk8,60,66855,41,19,0.0,0.0,0.0,0.016666666666666666,0.08333333333333333,0.6289320754704403,19,3.75,60,1.0,526.0,0.030418250950570342,17.526519588580296
m2d7pem8vph8npifco3ogcf8on,37,47082,27,10,0.0,0.0,0.0,0.02702702702702703,0.13513513513513514,0.6210337996257328,11,2.466666666666667,37,1.0,196.0,0.07653061224489796,11.891093339281557
qlgu4hfptc004osevv48p07oj3,58,87268,41,17,0.0,0.0,0.0,0.017241379310344827,0.08620689655172414,0.6553992347844211,17,3.0526315789473686,58,1.0,337.0,0.05637982195845697,12.420029563726995
s07af6jn35uipvfnkj6hpglsl9,28,38679,21,7,0.0,0.0,0.0,0.03571428571428571,0.17857142857142858,0.5578749768504754,8,2.8,28,1.0,180.0,0.05555555555555555,14.328863406795817
hs62n8oguaemh0k12m9434sr20,49,64587,35,14,0.0,0.0,0.0,0.02040816326530612,0.10204081632653061,0.6283593599322715,15,3.0625,49,1.0,381.0,0.04199475065616798,15.652169838653654
3rfboibsp6vin0c5iqp8r33f5n,37,46521,27,10,0.0,0.0,0.0,0.02702702702702703,0.13513513513513514,0.5994884598059144,11,2.642857142857143,37,1.0,186.0,0.07526881720430108,13.086998884774172
59phgq1j4hsfskn63mgd5nrnmb,10,12122,9,1,0.0,0.0,0.0,0.1,0.5,0.4,2,1.1111111111111112,10,1.0,2.0,4.5,0.6000000000000001
3uqepgd76f9ecnauehcl4sucbh,69,88950,49,20,0.0,0.0,0.0,0.014492753623188406,0.07246376811594203,0.7049499424356702,21,3.6315789473684212,69,1.0,289.0,0.0657439446366782,10.324131520927834
ck0vis16184tm6572eohin19d2,40,50019,27,13,0.0,0.0,0.0,0.025,0.125,0.5695392874947259,13,3.076923076923077,40,1.0,369.0,0.03523035230352303,18.280436947731854
pf7tnis955pq27n6sibk32d87k,46,53155,33,13,0.0,0.0,0.0,0.021739130434782608,0.10869565217391304,0.6404747766372276,14,2.875,46,1.0,330.0,0.048484848484848485,14.602418423621668
1ttvuqau08dh4t1cjg50pr2298,59,70264,39,20,0.0,0.0,0.0,0.01694915254237288,0.0847457627118644,0.6236735421347153,20,3.2777777777777777,59,1.0,592.0,0.030405405405405407,17.996201201491758
bdnrcfsa6rd1fuorjjjmi0o20s,62,83799,44,18,0.0,0.0,0.0,0.016129032258064516,0.08064516129032258,0.6509818087293731,19,2.9523809523809526,62,1.0,425.0,0.04941176470588235,12.494962564574353
k0371k7nj5dqmfg9fllmll59sn,35,30065,21,14,0.0,0.0,0.0,0.02857142857142857,0.14285714285714285,0.5525451315946776,14,2.6923076923076925,35,1.0,126.0,0.10317460317460317,5.1057390678109895
16r8lv9fabgjk06di8usnmu9ni,65,66592,46,19,0.0,0.0,0.0,0.03076923076923077,0.07692307692307693,0.6373020054525533,20,3.823529411764706,65,1.0,431.0,0.03944315545243619,11.246290644227448
7428dqv0aoerlt7uj52th5qac2,35,41295,25,10,0.0,0.0,0.0,0.02857142857142857,0.14285714285714285,0.6233549779791837,10,2.5,35,1.0,257.0,0.054474708171206226,14.234651598210931
8srapvmong540puc7nb8gttr9s,65,64914,45,20,0.0,0.0,0.0,0.015384615384615385,0.07692307692307693,0.6203644662663369,20,3.823529411764706,65,1.0,422.0,0.04028436018957346,12.237550128031945
qqvn22bkui88d086v1pnp37cus,50,61974,35,15,0.0,0.0,0.0,0.02,0.1,0.6838128398911503,15,2.7777777777777777,50,1.0,361.0,0.04986149584487535,13.820694627984514
bhgacl77180d93ov5a5fbbau9v,61,70651,46,15,0.0,0.0,0.0,0.22950819672131148,0.08196721311475409,0.6032252292778394,15,3.388888888888889,61,1.0,404.0,0.04455445544554455,15.871578820126338
7fk29hdm43m3g5jcsn40ilqq72,60,54041,45,15,0.0,0.0,0.0,0.21666666666666667,0.08333333333333333,0.5436502143433363,15,4.285714285714286,60,1.0,208.0,0.0673076923076923,9.113116310510303
aj9b410e48gia1a4u0s5e0on3v,53,54798,37,16,0.0,0.0,0.0,0.018867924528301886,0.09433962264150944,0.607301016582305,16,3.3125,53,1.0,161.0,0.09937888198757763,9.123807265860231
v6g56j1moj87j95r7n37hjcjqa,68,77169,50,18,0.0,0.0,0.0,0.14705882352941177,0.07352941176470588,0.624437463104769,18,3.5789473684210527,68,1.0,515.0,0.036893203883495145,17.91262796142512
7gce60ae3b26e071uuothvl8ov,62,78700,43,19,0.0,0.0,0.0,0.016129032258064516,0.08064516129032258,0.6204962600539143,19,3.4444444444444446,62,1.0,492.0,0.036585365853658534,15.63481533540836
tdm49rlqprtglqndl74j4cekj0,42,45648,29,13,0.0,0.0,0.0,0.023809523809523808,0.11904761904761904,0.6098213559459855,13,2.8,42,1.0,304.0,0.049342105263157895,13.504513396867278
65jksu5rbgasntdo5kcspn140b,55,53323,40,15,0.0,0.0,0.0,0.21818181818181817,0.09090909090909091,0.5958534402972341,15,3.6666666666666665,55,1.0,321.0,0.04672897196261682,12.903507115035376
3ctnavj7r6jrdpq5q0n8s7s4l1,58,73961,41,17,0.0,0.0,0.0,0.017241379310344827,0.08620689655172414,0.6982226459074685,18,3.0526315789473686,58,1.0,344.0,0.055232558139534885,11.527870379283833
pmb5bepkpun1v95n8rveof9ee0,62,83255,43,19,0.0,0.0,0.0,0.016129032258064516,0.08064516129032258,0.6435463659116131,19,3.6470588235294117,62,1.0,530.0,0.03207547169811321,16.861559086214363
pvkqfvdopap7c1e9hrdeakkq8u,41,55721,30,11,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.6462264048532571,12,2.411764705882353,41,1.0,292.0,0.05821917808219178,13.704539255033072
c4jthmvc4kk57hh14pugnmmj9j,61,74733,43,18,0.0,0.0,0.0,0.01639344262295082,0.08196721311475409,0.6802784892211944,19,3.05,61,1.0,520.0,0.038461538461538464,17.145095898146053
trga4mrvjvogdgoi9vrqkmi92j,46,57712,33,13,0.0,0.0,0.0,0.021739130434782608,0.10869565217391304,0.6225139592728849,14,3.2857142857142856,46,1.0,356.0,0.03932584269662921,16.339382648399326
m53jq0p03vjq9ggef5fqamii89,40,38346,29,11,0.0,0.0,0.0,0.025,0.125,0.6279928343540235,12,3.076923076923077,40,1.0,173.0,0.07514450867052024,7.212445840351247
4j64bd6drdkbib7sfpaue62poi,66,92786,46,20,0.0,0.0,0.0,0.015151515151515152,0.07575757575757576,0.6415731927193978,20,3.6666666666666665,66,1.0,494.0,0.03643724696356275,13.93408989997838
9hdhd3r1imn0bdlevf1s4g2ks4,49,46736,35,14,0.0,0.0,0.0,0.02040816326530612,0.10204081632653061,0.6388765649999399,15,3.0625,49,1.0,240.0,0.06666666666666667,8.87611998787479
uojjl06k7ee9lk3pc48ppaan0a,37,44212,27,10,0.0,0.0,0.0,0.02702702702702703,0.13513513513513514,0.6079579394163239,11,2.642857142857143,37,1.0,292.0,0.04794520547945205,15.661596659800002
as0na0kr8o0gfoe8do6a6cjsfi,56,74235,40,16,0.0,0.0,0.0,0.017857142857142856,0.08928571428571429,0.726458771671714,17,2.9473684210526314,56,1.0,340.0,0.05588235294117647,11.2422308774567
ebnjc41jpisf779951hm4okh7p,33,33361,19,14,0.0,0.0,0.0,0.030303030303030304,0.15151515151515152,0.4942274675848512,14,2.75,33,1.0,188.0,0.06382978723404255,11.274763582779311
m01ltdunc7d4tjuh0r8opr8c3k,38,48664,27,11,0.0,0.0,0.0,0.02631578947368421,0.13157894736842105,0.6006690637112277,11,2.533333333333333,38,1.0,359.0,0.04178272980501393,18.55248226890273
v3hbnujku5f0bm2mmbjqrr9rg8,60,70436,41,19,0.0,0.0,0.0,0.016666666666666666,0.08333333333333333,0.6080478782318234,19,3.1578947368421053,60,1.0,553.0,0.034358047016274866,15.670664383561476
20054o9vd2q32sqnc3g6kj17om,60,70538,46,14,0.0,0.0,0.0,0.23333333333333334,0.08333333333333333,0.5617433182117572,14,4.0,60,1.0,425.0,0.03529411764705882,16.59848554001907
lu2vabqtd7mhjirluaij1a6qcg,39,41876,27,12,0.0,0.0,0.0,0.02564102564102564,0.1282051282051282,0.6067774136512427,12,2.6,39,1.0,288.0,0.052083333333333336,14.08147607468104
j09afvs25gdij4vebr11kt9gpr,36,39207,26,10,0.0,0.0,0.0,0.027777777777777776,0.1388888888888889,0.6009252125773316,10,2.5714285714285716,36,1.0,238.0,0.058823529411764705,16.28441275469988
mld2vskicvoo3bvkk0fnjtuv7u,40,48182,29,11,0.0,0.0,0.0,0.025,0.125,0.6000000000000001,12,2.5,40,1.0,344.0,0.046511627906976744,16.905324604987623
mk7jdh4qi5dkquenuvef8qk855,55,70227,41,14,0.0,0.0,0.0,0.21818181818181817,0.09090909090909091,0.5411954933140806,14,3.6666666666666665,55,1.0,386.0,0.038860103626943004,13.862297997991675
vtcjrbtjq57mnai4banl61pd25,59,80330,39,20,0.0,0.0,0.0,0.01694915254237288,0.0847457627118644,0.7238697120021228,20,3.4705882352941178,59,1.0,638.0,0.02664576802507837,18.069052648172043
071tbv7fsev5d64kb0f9jieor6,66,92209,46,20,0.0,0.0,0.0,0.015151515151515152,0.07575757575757576,0.6415731927193978,20,3.142857142857143,66,1.0,680.0,0.030882352941176472,19.22038824141169
6ntd0tthl2oaq1l21tho6bflst,49,60852,35,14,0.0,0.0,0.0,0.02040816326530612,0.10204081632653061,0.6780917439116795,15,2.8823529411764706,49,1.0,362.0,0.04696132596685083,16.200045762760524
imgld2d8lq8ugjvfur481ofr2n,43,44747,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.622283170244635,13,2.5294117647058822,43,1.0,181.0,0.09392265193370165,12.721631714003466
htodnmm7tjpihgeuqk64c0gjes,53,67959,37,16,0.0,0.0,0.0,0.018867924528301886,0.09433962264150944,0.693251813995239,16,2.789473684210526,53,1.0,316.0,0.060126582278481014,13.392425716491157
0i5kvpslrq3vb6u8ff2kuejv0v,57,76006,40,17,0.0,0.0,0.0,0.017543859649122806,0.08771929824561403,0.6247190812198194,17,3.0,57,1.0,465.0,0.04086021505376344,14.979271611931184
69pb8jcum0600139r70m1aqbrf,42,58124,26,16,0.0,0.0,0.0,0.023809523809523808,0.11904761904761904,0.6004533434723092,16,2.625,42,1.0,382.0,0.041884816753926704,16.312147859814583
656v65u3buefq447rk141pj08c,43,54537,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6196703532313594,13,2.6875,43,1.0,348.0,0.04597701149425287,17.547031755201896
q80o426gl01opbf2ve05c36c4u,66,71725,50,16,0.0,0.0,0.0,0.21212121212121213,0.07575757575757576,0.5663100482130533,16,3.8823529411764706,66,1.0,303.0,0.056105610561056105,10.760445626582786
j732r4nonn5d5q37e9u2g9hr11,72,77147,53,19,0.0,0.0,0.0,0.2222222222222222,0.06944444444444445,0.5527707983925667,19,4.0,72,1.0,265.0,0.06792452830188679,8.343038330263557
1afcff96kgdbmevi5aemi5mkuj,50,71497,34,16,0.0,0.0,0.0,0.02,0.1,0.6118823416311342,16,3.125,50,1.0,425.0,0.03764705882352941,16.169415573854238
mc9vvj20cc427d1vhl9aah593q,54,59887,37,17,0.0,0.0,0.0,0.018518518518518517,0.09259259259259259,0.6211299937499416,17,3.375,54,1.0,433.0,0.03695150115473441,13.756467490064905
a511chc13vi6tde0dr4780cr9n,51,68920,36,15,0.0,0.0,0.0,0.058823529411764705,0.09803921568627451,0.7414772706348641,15,3.1875,51,1.0,347.0,0.04610951008645533,13.290154999676155
iae9nd0n4lmdfntp4ib72dt4fh,49,51660,35,14,0.0,0.0,0.0,0.02040816326530612,0.10204081632653061,0.6149599662579331,15,3.2666666666666666,49,1.0,322.0,0.046583850931677016,10.933938924658545
icjl2m9q6satjga38pfqqnmjl8,46,43542,31,15,0.0,0.0,0.0,0.021739130434782608,0.10869565217391304,0.5917677212528782,15,3.066666666666667,46,1.0,204.0,0.07352941176470588,9.368430275254559
crv8slnnov42i8mci4ppsrou68,38,48304,27,11,0.0,0.0,0.0,0.02631578947368421,0.13157894736842105,0.6006690637112277,11,2.923076923076923,38,1.0,15.0,0.8666666666666667,0.6704073264661576
b5iup8c3aosskl3hm3tmuu4lhi,46,53327,33,13,0.0,0.0,0.0,0.021739130434782608,0.10869565217391304,0.5685520361140008,14,2.875,46,1.0,20.0,0.8,0.8760626817221688
g6qvdvs8dvcr93euju3r3u2clg,36,38202,28,8,0.0,0.0,0.0,0.2222222222222222,0.1388888888888889,0.517442666949921,8,2.4,36,1.0,74.0,0.20270270270270271,4.988567175967043
2ciamdo9317m8q3tm7b11t4p6e,23,23654,19,4,0.0,0.0,0.0,0.21739130434782608,0.21739130434782608,0.5360360002581719,5,1.9166666666666667,23,1.0,27.0,0.4444444444444444,3.9082095746511705
7nobos194e12uk0c7gi4e04c25,39,42857,31,8,0.0,0.0,0.0,0.23076923076923078,0.1282051282051282,0.6217618283580585,9,2.4375,39,1.0,61.0,0.26229508196721313,3.564748142970824
7onurvslijk8fm97iohvhcoq52,62,69643,44,18,0.0,0.0,0.0,0.06451612903225806,0.08064516129032258,0.5871056362322998,18,3.263157894736842,62,1.0,91.0,0.2087912087912088,2.9877045992052795
dplgo3sid3ccoh1p28kt7oal82,36,37310,26,10,0.0,0.0,0.0,0.05555555555555555,0.1388888888888889,0.5773502691896257,10,2.769230769230769,36,1.0,25.0,0.52,1.6636546857987826
t8f9bu34vogoj5kisdk61hp83n,54,57254,38,16,0.0,0.0,0.0,0.037037037037037035,0.09259259259259259,0.571679594090116,16,3.857142857142857,54,1.0,51.0,0.27450980392156865,1.715038782270348
lbpk1okd4btot9vqfjpsv2vl9n,43,52493,32,11,0.0,0.0,0.0,0.09302325581395349,0.11627906976744186,0.5929092457666029,12,2.6875,43,1.0,68.0,0.23529411764705882,3.397896463782117
heooocaj90nj4usab96vr0t8bo,64,71477,49,15,0.0,0.0,0.0,0.234375,0.078125,0.5640170514931264,15,4.266666666666667,64,1.0,114.0,0.13157894736842105,3.743614354804725
fsjvbae9a6rr1ka25ldsvbdtuu,54,70396,42,12,0.0,0.0,0.0,0.2222222222222222,0.09259259259259259,0.6679514369211643,12,3.6,54,1.0,192.0,0.078125,6.096953297030644
tgjeh5ae9h3v4vmds3oemkq48n,39,46177,27,12,0.0,0.0,0.0,0.07692307692307693,0.1282051282051282,0.5487419117700691,12,2.7857142857142856,39,1.0,181.0,0.07734806629834254,7.810207586089122
v23rfeffhu8tnkj029mv5angtg,41,50542,31,10,0.0,0.0,0.0,0.17073170731707318,0.12195121951219512,0.5508092580798154,10,2.7333333333333334,41,1.0,158.0,0.0949367088607595,6.520365752159868
rdrkop6n2o5qgtbpm4o4as05mu,37,42478,28,9,0.0,0.0,0.0,0.10810810810810811,0.13513513513513514,0.5525688729800236,10,2.466666666666667,37,1.0,96.0,0.15625,4.623438871425534
s22ulplav9a7svordh7cc4olt7,68,72458,52,16,0.0,0.0,0.0,0.23529411764705882,0.07352941176470588,0.5034483167242263,16,5.230769230769231,68,1.0,216.0,0.06018518518518518,5.153357490569186
qe370ks533bvqh8n9ra33968bn,64,78755,50,14,0.0,0.0,0.0,0.234375,0.078125,0.5743117484215345,15,3.764705882352941,64,1.0,196.0,0.08673469387755102,5.4825718189550425
tr5fbeta11pirki760fvndcfmb,55,64939,40,15,0.0,0.0,0.0,0.07272727272727272,0.09090909090909091,0.5789703028396603,16,3.235294117647059,55,1.0,211.0,0.08056872037914692,6.035542112771753
b29vltsdmop45jv4bjp64gc73o,50,53273,37,13,0.0,0.0,0.0,0.22,0.1,0.5291502622129182,13,2.9411764705882355,50,1.0,209.0,0.08133971291866028,7.106869915792746
smjle8311adgengdcgqfh70ua0,46,55383,34,12,0.0,0.0,0.0,0.15217391304347827,0.10869565217391304,0.5685520361140008,12,2.875,46,1.0,165.0,0.09696969696969697,6.19809257810863
aukl3llmaggljgm2dv21pgl802,80,89902,62,18,0.0,0.0,0.0,0.2375,0.0625,0.5721396245672904,19,3.8095238095238093,80,1.0,316.0,0.06645569620253164,7.372075691418259
sq6gghu3613fgq6t6h9bcr80ie,47,50932,34,13,0.0,0.0,0.0,0.0425531914893617,0.10638297872340426,0.5424488844247645,14,3.357142857142857,47,1.0,195.0,0.07179487179487179,6.506882521212592
l281lufhl0p948rr5o7mq7rhoi,45,50733,34,11,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.49888765156985887,11,3.2142857142857144,45,1.0,118.0,0.11864406779661017,4.132735918594304
7viehtkjnmi6q1dque68cpudao,48,47669,37,11,0.0,0.0,0.0,0.22916666666666666,0.10416666666666667,0.5098849271050174,11,3.4285714285714284,48,1.0,219.0,0.0639269406392694,7.957978831545943
m1e1mgb7hbmqovglk2rp4f7en9,49,57488,38,11,0.0,0.0,0.0,0.22448979591836735,0.10204081632653061,0.5801089960633427,11,3.0625,49,1.0,162.0,0.09876543209876543,6.121904737715159
ntq39vmdijl66047lvvr8qeuh8,44,46102,34,10,0.0,0.0,0.0,0.22727272727272727,0.11363636363636363,0.5197543920922397,10,3.142857142857143,44,1.0,123.0,0.11382113821138211,5.3579997346980885
h9gaeo351pqnmpu055ot9s5mtd,44,52578,34,10,0.0,0.0,0.0,0.18181818181818182,0.11363636363636363,0.5339700056577605,11,2.75,44,1.0,94.0,0.1702127659574468,4.34631980735065
f9gd6pgmkcgvpb3lfnmr1rp86k,67,78101,52,15,0.0,0.0,0.0,0.23880597014925373,0.07462686567164178,0.5443158963824021,16,3.9411764705882355,67,1.0,88.0,0.19318181818181818,2.7977013764441745
1u41k0lehrsbt97q0pe4knpa6c,56,69553,41,15,0.0,0.0,0.0,0.08928571428571429,0.08928571428571429,0.5318311647084082,16,4.0,56,1.0,43.0,0.32558139534883723,1.7216175059329217
f76c77gidobkhj3onqhf4s3n4d,41,42669,30,11,0.0,0.0,0.0,0.04878048780487805,0.12195121951219512,0.5678266696011129,12,2.9285714285714284,41,1.0,33.0,0.42424242424242425,1.8638998219066147
0ogg5l1i4nh37ek8mjpn8q9fc0,33,38102,24,9,0.0,0.0,0.0,0.06060606060606061,0.15151515151515152,0.48104569292083466,9,2.75,33,1.0,25.0,0.48,1.5181787939242846
9cuovso04bhmsmeovv59e513qh,68,104246,53,15,0.0,0.0,0.0,0.23529411764705882,0.07352941176470588,0.5672735741760562,16,3.5789473684210527,68,1.0,111.0,0.17117117117117117,4.104890955651011
sd8qtd5qblkhbiq3el51h7p58q,61,66626,46,15,0.0,0.0,0.0,0.22950819672131148,0.08196721311475409,0.5486295255961151,15,3.388888888888889,61,1.0,186.0,0.0967741935483871,5.9462792595921385
0pcr6mashfodserb90cq3p04uf,60,63856,45,15,0.0,0.0,0.0,0.15,0.08333333333333333,0.566421515598881,16,3.75,60,1.0,280.0,0.05714285714285714,8.651910514768144
3qfgfasvf42im2b2pba7hlhvdq,42,40579,31,11,0.0,0.0,0.0,0.21428571428571427,0.11904761904761904,0.5450249115361714,11,2.8,42,1.0,178.0,0.08426966292134831,7.561838790644219
eoj0v25cg7p78ojpr26s9tea94,64,76729,47,17,0.0,0.0,0.0,0.140625,0.078125,0.6179287479151622,17,3.764705882352941,64,1.0,216.0,0.0787037037037037,5.721396245672904
